pipeline,name
UGC研发,UGC商业化功能
UGC研发,编辑器WEB端功能开发
UGC研发,移动端交互兼容PC端
UGC研发,UGC功能规范整理
UGC研发,UGC编辑器日常维护Q1
UGC研发,UGC编辑器日常维护Q2
UGC研发,UGC编辑器日常维护Q3
UGC研发,UGC编辑器日常维护Q4
UGC研发,UGC编辑器能力拓展H1
UGC研发,UGC编辑器能力拓展H2
UGC研发,UGC长线复玩支持Q1
UGC研发,UGC长线复玩支持Q2
UGC研发,UGC长线复玩支持Q3
UGC研发,UGC长线复玩支持Q4
UGC研发,UGCPC编辑器设计
UGC研发,UGCPC优化
UGC运营,乐园会员体系
UGC运营,乐园AI陪玩系统
UGC运营,蛋仔shorts设计
UGC运营,嘉年华活动设计
UGC运营,日常运营活动H1
UGC运营,日常运营活动H2
UGC运营,UGC长线复玩设计
UGC运营,UGC运营日常维护Q1
UGC运营,UGC运营日常维护Q2
UGC运营,UGC运营日常维护Q3
UGC运营,UGC运营日常维护Q4
玩法,玩法体验日常维护Q1
玩法,玩法体验日常维护Q2
玩法,玩法体验日常维护Q3
玩法,玩法体验日常维护Q4
玩法,超燃相关体验设计与优化Q1
玩法,超燃相关体验设计与优化Q2
玩法,超燃相关体验设计与优化Q3
玩法,超燃相关体验设计与优化Q4
玩法,惊魂夜相关体验设计与优化Q1
玩法,惊魂夜相关体验设计与优化Q2
玩法,惊魂夜相关体验设计与优化Q3
玩法,惊魂夜相关体验设计与优化Q4
玩法,碰碰棋相关体验设计与优化Q1
玩法,碰碰棋相关体验设计与优化Q2
玩法,碰碰棋相关体验设计与优化Q3
玩法,碰碰棋相关体验设计与优化Q4
玩法,寻宝队相关体验设计与优化Q1
玩法,寻宝队相关体验设计与优化Q2
玩法,寻宝队相关体验设计与优化Q3
玩法,寻宝队相关体验设计与优化Q4
玩法,捣蛋鬼相关体验设计与优化Q1
玩法,捣蛋鬼相关体验设计与优化Q2
玩法,捣蛋鬼相关体验设计与优化Q3
玩法,捣蛋鬼相关体验设计与优化Q4
玩法,新S级玩法设计与落地Q1
玩法,新S级玩法设计与落地Q2
玩法,新S级玩法设计与落地Q3
玩法,新S级玩法设计与落地Q4
玩法,主城互动相关设计Q1
玩法,主城互动相关设计Q2
玩法,主城互动相关设计Q3
玩法,主城互动相关设计Q4
玩法,副玩法主城设计与维护Q1
玩法,副玩法主城设计与维护Q2
玩法,副玩法主城设计与维护Q3
玩法,副玩法主城设计与维护Q4
系统,农场矿洞系统设计及体验优化
系统,农场社交向系统内容丰富及体验优化
系统,农场商业化系统内容丰富及体验优化
系统,农场养成深度广度扩展
系统,农场活跃向玩法及活动维护
系统,农场基建及基础玩法体验维护优化
系统,疯狂农场玩法体验优化迭代
系统,疯狂农场玩法功能扩展
系统,疯狂农场商业化
系统,艾比PVE相关系统内容丰富及体验优化
系统,艾比PVP相关系统内容丰富及体验优化
系统,艾比养成深度广度扩展
系统,艾比活跃向玩法及活动维护
系统,艾比大陆等级优化
系统,艾比营地建造系统
系统,艾比探险小队
系统,艾比小市场
系统,艾比GTA玩法
系统,新赛事扩展
系统,赛事相关体验优化
系统,个人信息迭代
系统,蛋壳蛋圈整体迭代
系统,房间系统迭代
系统,玩法选择系统体验维护优化
系统,各类玩法通用结算界面体验维护优化
系统,回流系统体验优化
系统,社交系统相关体验优化
系统,聊天系统相关体验优化
系统,相机相册相关系统体验维护优化
系统,小组件扩展
系统,设置系统及包体维护相关优化
系统,常规通用系统相关优化
IP,商城、背包相关规范整合
IP,副玩法商业化规范
IP,IP&商业化模板化
IP,日常商业化系统优化
IP,已有商业化系统优化与维护
IP,商业化内容海外覆盖式合入
IP,商城相关功能拓展
IP,背包相关功能扩展
IP,预览相关功能扩展
IP,核心赛季奖池付费Q1
IP,核心赛季奖池付费Q2
IP,核心赛季奖池付费Q3
IP,核心赛季奖池付费Q4
IP,IP联动奖池付费Q1
IP,IP联动奖池付费Q2
IP,IP联动奖池付费Q3
IP,IP联动奖池付费Q4
IP,节日限定奖池付费Q1
IP,节日限定奖池付费Q2
IP,节日限定奖池付费Q3
IP,节日限定奖池付费Q4
IP,热销相关活动Q1
IP,热销相关活动Q2
IP,热销相关活动Q3
IP,热销相关活动Q4
IP,周年庆大事件
IP,年末春晚
IP,IP蛋仔岛玩法
IP,玩具及多形态道具
IP,副玩法商业化支持
IP,UGC商业化支持
IP,系统商业化支持
IP,蛋仔岛玩法商业化
海外,海外-优化与跑查
海外,海外-覆盖式合入
海外,海外-merge多语言处理Q1
海外,海外-merge多语言处理Q2
海外,海外-merge多语言处理Q3
海外,海外-merge多语言处理Q4
海外,海外-本地化设计
